Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Philadelphia 76ers,23.4,16,66,99.4,109.9,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,2014,0
Phoenix Suns,26.2,48,34,109.5,106.7,95.8,0.293,0.3,0.558,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,2014,0
Portland Trail Blazers*,25.8,52,30,111.5,107.4,94.9,0.27,0.29,0.548,0.504,12.4,28,0.22,0.488,11,74.7,0.194,2014,1
Sacramento Kings,24.9,33,49,105.7,108.8,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,2014,0
San Antonio Spurs*,28.9,61,21,110.5,102.4,95,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,2014,1
Toronto Raptors*,25.6,50,32,108.8,105.3,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,2014,1
Utah Jazz,24.5,22,60,103.5,111.3,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,2014,0
Washington Wizards*,26.3,45,37,106,104.6,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,2014,1
Atlanta Hawks*,27.8,56,26,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,2015,1
Boston Celtics*,25,41,41,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,2015,1
Brooklyn Nets*,28.6,33,49,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,2015,1
Charlotte Hornets,26,32,50,100.1,103.5,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,2015,0
Chicago Bulls*,28.8,50,32,107.5,104.3,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,2015,1
Cleveland Cavaliers*,26.9,53,29,111.1,106.3,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,2015,1
Dallas Mavericks*,29.9,49,33,109.5,106.4,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,2015,1
Denver Nuggets,26.4,31,51,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,2015,0
Detroit Pistons,25.9,38,44,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,2015,0
Golden State Warriors*,26.6,65,17,111.6,101.4,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,2015,1
Houston Rockets*,27.6,50,32,107,103.4,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,2015,1
Indiana Pacers,28.3,42,40,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,2015,0
Los Angeles Clippers*,28.8,58,24,112.4,105.5,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,2015,1
Los Angeles Lakers,27,23,59,103.4,110.6,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,2015,0
Memphis Grizzlies*,29.6,50,32,105.7,102.2,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,2015,1
Miami Heat,28.5,33,49,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,2015,0
Milwaukee Bucks*,24.6,42,40,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,2015,1
Minnesota Timberwolves,24.4,19,63,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,2015,0
New Orleans Pelicans*,25.3,43,39,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,2015,1
New York Knicks,26.9,17,65,99.9,110,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234,2015,0
Oklahoma City Thunder,25.4,47,35,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,2015,0
Orlando Magic,24.3,25,57,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,2015,0
Philadelphia 76ers,23.2,18,64,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225,2015,0
Phoenix Suns,25.7,38,44,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,2015,0
Portland Trail Blazers*,27,53,29,108.2,103.7,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,2015,1
Sacramento Kings,26,31,51,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,2015,0
San Antonio Spurs*,29.8,58,24,108.5,102,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,2015,1
Toronto Raptors*,26.1,49,33,111,107.7,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,2015,1
Utah Jazz,23.4,42,40,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,2015,0
Washington Wizards*,28.6,43,39,103.7,103,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,2015,1
Atlanta Hawks*,28.2,51,31,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,2016,1
Boston Celtics*,25.2,50,32,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,2016,1
Brooklyn Nets,26.9,22,60,103.2,110.9,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,2016,0
Charlotte Hornets*,26,49,33,107.1,104.3,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,2016,1
Chicago Bulls,27.6,37,45,105,106.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,2016,0
Cleveland Cavaliers*,28.1,57,25,110.9,104.5,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,2016,1
Dallas Mavericks*,30.3,40,42,106.7,107,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,2016,1
Denver Nuggets,24.7,33,49,105.6,108.9,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,2016,0
Detroit Pistons*,25,43,39,106.1,105.5,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,2016,1
Golden State Warriors*,27.4,65,17,114.5,103.8,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,2016,1
Houston Rockets*,27.8,42,40,108.3,108.1,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,2016,1
Indiana Pacers*,26.9,46,36,104.6,102.9,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,2016,1
Los Angeles Clippers*,29.7,53,29,108.3,103.8,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,2016,1
Los Angeles Lakers,26.5,17,65,101.6,111.6,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,2016,0
Memphis Grizzlies*,30.5,35,47,105.4,107.8,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,2016,1
Miami Heat*,28.4,46,36,106.1,104.4,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,2016,1
Milwaukee Bucks,23.5,29,53,104.3,108.7,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,2016,0
Minnesota Timberwolves,24.6,31,51,106.5,110.1,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,2016,0
New Orleans Pelicans,26.6,31,51,105.6,109.5,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,2016,0
New York Knicks,27.2,33,49,104.6,107.6,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,2016,0
Oklahoma City Thunder*,25.8,59,23,113.1,105.6,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,2016,1
Orlando Magic,23.9,36,46,105.1,106.8,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,2016,0
Philadelphia 76ers,23.3,16,66,98.8,109.2,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74,0.24,2016,0
Phoenix Suns,26,24,58,102.2,109,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,2016,0
Portland Trail Blazers*,24.3,43,39,108.8,108,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,2016,1
Sacramento Kings,26.6,34,48,106,108.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,2016,0
San Antonio Spurs*,30.3,67,15,110.3,99,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,2016,1
Toronto Raptors*,26.3,53,29,110,105.2,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,2016,1
Utah Jazz,24.2,46,36,105.9,103.9,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,2016,0
Washington Wizards,27.3,40,42,105.3,105.8,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,2016,0
Atlanta Hawks*,27.9,39,43,104.9,105.7,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,2017,1
Boston Celtics*,25.9,48,34,111.2,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,2017,1
Brooklyn Nets,26,24,58,104.1,110.7,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,2017,0
Charlotte Hornets,26.5,42,40,108.8,108.6,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,2017,0
Chicago Bulls*,26.9,42,40,107.4,107,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,2017,1
Cleveland Cavaliers*,29.2,49,33,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,2017,1
Dallas Mavericks,27.6,33,49,105.6,108.8,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,2017,0
Denver Nuggets,25.2,42,40,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,2017,0
Detroit Pistons,25.4,38,44,106,107.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,2017,0
Golden State Warriors*,28.2,67,15,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,2017,1
Houston Rockets*,27.4,55,27,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,2017,1
Indiana Pacers*,27,40,42,108.6,108.8,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,2017,1
Los Angeles Clippers*,30,52,30,112.7,108.2,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,2017,1
Los Angeles Lakers,25.1,24,58,106,113,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,2017,0
Memphis Grizzlies*,29.5,42,40,107.7,107.1,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,2017,1
Miami Heat,26.5,44,38,107.8,106.7,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,2017,0
Milwaukee Bucks*,25.6,40,42,109.1,109.3,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,2017,1
Minnesota Timberwolves,24,38,44,110.8,112,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,2017,0
New Orleans Pelicans,25.7,35,47,105.2,107.4,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,2017,0
New York Knicks,27.3,31,51,107.7,111.5,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,2017,0
Oklahoma City Thunder*,24.7,43,39,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,2017,1
Orlando Magic,25.3,24,58,103.7,110.5,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,2017,0
Philadelphia 76ers,24.6,26,56,103.2,108.9,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,2017,0
Phoenix Suns,25,27,55,106.6,112.2,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,2017,0
Portland Trail Blazers*,24.8,40,42,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,2017,1
Sacramento Kings,27.9,31,51,107.3,111.3,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,2017,0
San Antonio Spurs*,29.6,60,22,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,2017,1
Toronto Raptors*,26.1,52,30,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,2017,1
Utah Jazz*,26.8,52,30,109.6,105.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,2017,1
Washington Wizards*,26,46,36,111.2,109.3,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,2017,1
Atlanta Hawks,25.4,27,55,105,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2018,0
Boston Celtics*,24.7,51,31,107.6,103.9,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,2018,1
Brooklyn Nets,25.1,31,51,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,2018,0
Charlotte Hornets,26.6,42,40,109.4,109.1,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,2018,0
Chicago Bulls,24.4,23,59,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,2018,0
Cleveland Cavaliers*,30.6,43,39,112.9,111.9,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,2018,1
Dallas Mavericks,27.7,33,49,106.3,109.5,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,2018,0
Denver Nuggets,25.1,45,37,112.5,111,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,2018,0
Detroit Pistons,25.9,41,41,107.2,107.3,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,2018,0
Golden State Warriors*,28.8,56,26,113.6,107.6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,2018,1
Houston Rockets*,29.8,61,21,114.7,106.1,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,2018,1
Indiana Pacers*,26.2,45,37,109.5,108.1,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,2018,1
Los Angeles Clippers,27,41,41,110.3,110.2,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,2018,0
Los Angeles Lakers,23.7,37,45,106.5,108,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,2018,0
Memphis Grizzlies,26,25,57,104.5,111,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,2018,0
Miami Heat*,26.5,42,40,106.8,106.3,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,2018,1
Milwaukee Bucks*,25.9,40,42,109.8,110.1,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,2018,1
Minnesota Timberwolves*,27.1,47,35,113.4,111.1,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,2018,1
New Orleans Pelicans*,27.6,44,38,109.6,108.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,2018,1
New York Knicks,26.3,32,50,107.1,110.7,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,2018,0
Oklahoma City Thunder*,27.3,50,32,110.7,107.2,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,2018,1
Orlando Magic,25.6,28,54,105.2,110.1,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,2018,0
Philadelphia 76ers*,25.8,53,29,109.5,105,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,2018,1
Phoenix Suns,23.7,19,63,103.5,112.8,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,2018,0
Portland Trail Blazers*,25.6,48,34,109.1,106.4,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,2018,1
Sacramento Kings,26.4,23,59,103.7,111.1,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,2018,0
San Antonio Spurs*,29.3,49,33,107.9,104.8,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,2018,1
Toronto Raptors*,25.8,60,22,113.8,105.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,2018,1
Utah Jazz*,26.7,53,29,108.4,103.9,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,2018,1
Washington Wizards*,26.9,43,39,109.3,108.7,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,2018,1
Atlanta Hawks,25.1,27,55,108.1,113.9,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,2019,0
Boston Celtics*,25.7,52,30,112.2,107.8,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,2019,1
Brooklyn Nets*,25.4,41,41,109.6,109.7,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,2019,1
Charlotte Hornets,26.6,38,44,111.4,112.5,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,2019,0
Chicago Bulls,24,21,61,104.8,113.2,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,2019,0
Cleveland Cavaliers,25.2,19,63,107.7,117.6,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77,0.181,2019,0
Dallas Mavericks,26.9,38,44,109.4,110.7,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,2019,0
Denver Nuggets*,24.9,51,31,113,108.9,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,2019,1
Detroit Pistons*,26.9,40,42,109,109.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,2019,1
Golden State Warriors*,28.4,56,26,115.9,109.5,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,2019,1
Houston Rockets*,29.2,53,29,115.5,110.7,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,2019,1
Indiana Pacers*,27,50,32,109.9,106.5,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,2019,1
Los Angeles Clippers*,27.2,43,39,112.4,111.5,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,2019,1
Los Angeles Lakers,26.2,37,45,107.8,109.5,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,2019,0
Memphis Grizzlies,27.7,34,48,106.1,108.8,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,0.521,13.9,77.6,0.232,2019,0
Miami Heat,27,40,42,107.3,107.6,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,2019,0
Milwaukee Bucks*,26.9,61,21,113.8,105.2,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,2019,1
Minnesota Timberwolves,26.2,37,45,111.4,112.9,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,2019,0
New Orleans Pelicans,25.7,38,44,111.4,112.6,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,2019,0
New York Knicks,23.4,19,63,104.5,113.7,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,2019,0
Oklahoma City Thunder*,25.7,50,32,110.3,107,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,2019,1
Orlando Magic*,25.7,43,39,108.9,108.1,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,2019,1
Philadelphia 76ers*,26.4,48,34,112.6,110,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,2019,1
Phoenix Suns,24,19,63,105.9,115.1,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,2019,0
Portland Trail Blazers*,26.2,51,31,114.7,110.5,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,2019,1
Sacramento Kings,24.8,38,44,110.4,111.5,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,2019,0
San Antonio Spurs*,28.8,45,37,112.9,111.2,98.3,0.237,0.286,0.572,0.534,11,21,0.194,0.528,11,79.4,0.17,2019,1
Toronto Raptors*,27.3,56,26,113.1,107.1,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,2019,1
Utah Jazz*,27.3,54,28,110.9,105.7,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,2019,1
Washington Wizards,26.5,34,48,111.1,113.9,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,2019,0
Atlanta Hawks,24.1,18,49,107.2,114.8,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,2020,0
Boston Celtics*,25.3,50,22,113.3,107,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,2020,1
Brooklyn Nets*,26.3,35,37,108.9,109.5,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11,77.8,0.187,2020,1
Charlotte Hornets,24.3,19,46,106.3,113.3,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,2020,0
Chicago Bulls,24.4,26,39,106.7,109.8,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,2020,0
Cleveland Cavaliers,25,18,47,107.5,115.4,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,2020,0
Dallas Mavericks*,26.1,49,26,116.7,111.7,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,2020,1
Denver Nuggets*,25.6,41,32,113.1,111,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,2020,1
Detroit Pistons,25.9,26,40,109,112.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,2020,0
Golden State Warriors,24.4,16,49,105.2,113.8,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,2020,0
Houston Rockets*,29.2,42,30,112.9,110.1,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,0.529,13.7,75.6,0.197,2020,1
Indiana Pacers*,25.6,41,32,110,108,98.9,0.216,0.317,0.565,0.534,12,20,0.17,0.511,13,76.7,0.192,2020,1
Los Angeles Clippers*,27.4,50,22,113.9,107.6,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,2020,1
Los Angeles Lakers*,29.5,48,23,112,106.3,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,2020,1
Memphis Grizzlies,24.1,34,39,109.2,110.3,102.8,0.24,0.346,0.561,0.528,13.2,23,0.183,0.521,12.7,77.8,0.217,2020,0
Miami Heat*,25.9,43,30,112.5,109.5,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,2020,1
Milwaukee Bucks*,29.2,57,16,112.4,102.9,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12,81.6,0.178,2020,1
Minnesota Timberwolves,24.8,24,40,108.1,112.2,103.4,0.277,0.433,0.551,0.514,13,22.1,0.209,0.541,13.2,77.2,0.218,2020,0
New Orleans Pelicans,25.4,33,39,110.7,111.9,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,2020,0
New York Knicks,24.5,20,46,106.5,113,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,2020,0
Oklahoma City Thunder*,25.5,41,31,110.8,108.8,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,2020,1
